contains_bug,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,add_median_degree,del_num_nodes,del_max_degree
False,8,11,1.375,1.375,6,22,2,2,7,5
False,0,0,0.0,0.0,0,0,0,0,0,0
False,23,40,1.7391,1.7391,12,80,3,2,7,5
False,0,0,0.0,0.0,0,0,0,0,0,0
False,0,0,0.0,0.0,0,0,0,0,0,0
False,8,9,1.125,1.125,6,18,2,2,8,6
False,0,0,0.0,0.0,0,0,0,0,0,0
False,0,0,0.0,0.0,0,0,0,0,0,0
False,16,22,1.375,1.375,10,44,2,2,8,6
False,9,14,1.5556,1.5556,7,28,3,2,8,6
False,10,14,1.4,1.4,8,28,2,2,8,6
False,0,0,0.0,0.0,0,0,0,0,28,12
False,0,0,0.0,0.0,0,0,0,0,0,0
False,16,21,1.3125,1.3125,8,42,2,2,15,7
False,0,0,0.0,0.0,0,0,0,0,0,0
False,37,73,1.973,1.973,16,146,3,3,27,9
False,12,15,1.25,1.25,6,30,2,2,0,0
False,8,10,1.25,1.25,5,20,2,2,0,0
False,6,9,1.5,1.5,5,18,3,2,6,5
False,19,33,1.7368,1.7368,9,66,3,2,14,9
False,0,0,0.0,0.0,0,0,0,0,0,0
False,0,0,0.0,0.0,0,0,0,0,0,0
False,0,0,0.0,0.0,0,0,0,0,0,0
False,0,0,0.0,0.0,0,0,0,0,0,0
False,0,0,0.0,0.0,0,0,0,0,0,0
False,0,0,0.0,0.0,0,0,0,0,0,0
False,10,14,1.4,1.4,6,28,2,2,10,6
False,0,0,0.0,0.0,0,0,0,0,0,0
False,25,37,1.48,1.48,8,74,3,3,13,8
False,11,14,1.2727,1.2727,5,28,2,2,9,4
False,15,21,1.4,1.4,9,42,2,2,8,4
False,17,22,1.2941,1.2941,5,44,2,2,6,4
False,10,12,1.2,1.2,5,24,2,2,10,5
False,0,0,0.0,0.0,0,0,0,0,0,0
False,0,0,0.0,0.0,0,0,0,0,0,0
False,0,0,0.0,0.0,0,0,0,0,0,0
False,19,33,1.7368,1.7368,9,66,3,2,14,9
False,11,16,1.4545,1.4545,8,32,2,2,10,5
False,0,0,0.0,0.0,0,0,0,0,0,0
False,0,0,0.0,0.0,0,0,0,0,0,0
False,14,17,1.2143,1.2143,7,34,2,2,6,4
