commit_hash,contains_bug,argument expr name,argument expr name name,argument_list argument expr name name,argument_list if,argument_list if_stmt,argument_list if_stmt if,argument_list if_stmt if condition,argument_list if_stmt if condition expr,block block,block block_content,block block_content comment,block block_content comment type,block block_content expr,block block_content expr_stmt,block block_content expr_stmt expr,block block_content expr_stmt expr name,block_content comment,block_content comment type,condition expr name operator name,else block,else block block_content,expr name,expr name name,expr name name operator,expr name name operator name,expr name operator name,expr operator name name literal,expr operator name name operator,expr_stmt expr name name operator,function,incr,incr expr
1d603a9f87e95e380aca776f3488b07ffa9bfeff,0,7,1,0,0,0,0,0,0,4,4,0,0,2,1,1,0,0,0,0,0,0,17,7,5,3,0,0,0,0,2,0,0
3865e131cb380b28bfe0e5ab796f551f6dddf03a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0
86d4a61797cd8df5dc810ea3ebb9124b5f0e52a4,0,3,0,0,0,0,0,0,0,3,3,0,0,2,2,2,1,0,0,1,0,0,16,8,7,2,2,0,0,0,0,1,1
017a3bf628189bfd559dfb187f8b42ddabdb2c7e,1,825,181,124,48,48,48,48,48,663,663,61,61,245,245,245,165,61,61,69,69,69,1843,409,284,270,271,1,11,78,241,22,22
cf06226cb8e18640fe94bf04661aef4947a77757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0
0ce6e9a6949fd2ffee8ac56309557433e64f5268,1,261,62,45,7,7,6,6,6,75,75,5,5,34,34,34,8,5,5,1,6,5,348,80,63,58,17,1,0,6,20,1,1
cd49552b579a52ec2ce1969c0788a40e8208c824,1,5,1,1,0,0,0,0,0,6,6,0,0,3,3,3,2,0,0,0,0,0,22,11,9,1,3,0,0,0,0,0,0
be0bb552ee26c07c27a71d2da52f36ed16185076,1,4,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,6,4,3,0,0,0,0,0,0,0
5e87b67337f529546e28ddca9ab384244da96c15,1,9,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,7,1,1,0,0,0,0,0,0
f61d23263064ebb7217bce51116106e580624feb,1,112,11,9,0,0,0,0,0,58,58,7,7,21,21,21,13,7,7,8,4,3,273,40,16,9,33,1,1,3,17,8,8
a7f879db7682841539468f9af71f8b28423d9321,0,10,4,3,4,4,4,4,4,11,11,1,1,3,3,3,0,1,1,0,0,0,14,7,5,3,0,0,1,0,0,0,0
6b33a8c5936c44b14517503d9c61d1b4648fc131,0,101,4,2,1,1,1,1,1,27,27,3,3,8,8,8,4,3,3,7,1,1,134,9,7,5,10,0,0,0,14,5,5
a9670cc6e7951e02d5a8aa0a66afd8612bed9c42,1,53,22,13,4,4,4,4,4,32,32,1,1,19,19,19,9,1,1,4,4,4,122,48,20,12,8,0,0,2,0,0,0
e4ed871c5e6f2b5882ef8a8327f7256508f1e568,0,8,4,2,0,0,0,0,0,4,4,0,0,1,1,1,1,0,0,4,1,0,46,17,3,1,7,0,0,0,0,2,2
225459815caf4b8a2a8fcf81d96a56c090219950,0,0,0,0,0,0,0,0,0,3,3,1,1,2,2,2,1,1,1,1,1,1,16,5,4,3,3,1,0,0,0,0,0
85642f59ddf00c469b502f46fbc39944e076190e,1,665,185,133,4,4,4,4,4,302,302,25,25,118,118,117,42,25,25,33,11,11,1138,313,102,81,159,1,2,29,179,21,21
30de6c512ae51391159b28e0250a9482f12690c7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0
c96f750558a05220afc008e2e1cfb3537627dadb,1,229,76,26,5,5,5,5,5,73,73,15,15,6,6,6,5,15,15,11,5,5,414,141,70,62,33,1,3,7,27,6,6
